land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket,crime_rate_index,room_size,property_value
152 sqm,151 sqm,2,1,No,No,Yes,No,2.7km,No,12 Years,No,4.6 km,1.91,large,110020
243 sqm,239 sqm,5,2,Yes,Yes,Yes,Yes,1.6km,Yes,1 Years,No,3.2 km,1.58,medium,215344
239 sqm,206 sqm,5,3,Yes,Yes,Yes,Yes,0.1km,Yes,12 Years,No,1.2 km,2.21,large,232696
271 sqm,268 sqm,5,5,Yes,Yes,Yes,Yes,0.5km,Yes,11 Years,No,4.6 km,5.46,medium,222069
163 sqm,157 sqm,2,3,No,Yes,No,Yes,4.5km,No,9 Years,No,1.2 km,5.82,large,117716
310 sqm,278 sqm,5,2,Yes,Yes,Yes,Yes,4.2km,Yes,13 Years,No,6.3 km,3.38,extra_large,248061
309 sqm,296 sqm,5,5,Yes,Yes,Yes,No,4.2km,Yes,16 Years,Yes,2.7 km,1.24,large,281139
106 sqm,92 sqm,1,2,No,Yes,No,No,6.7km,No,2 Years,No,4.7 km,0.61,small,77242
124 sqm,109 sqm,2,2,No,Yes,No,Yes,2.6km,No,7 Years,No,3.1 km,3.85,medium,96144
332 sqm,315 sqm,5,5,Yes,Yes,Yes,Yes,0.9km,Yes,16 Years,No,6.5 km,1.76,medium,283062
170 sqm,168 sqm,2,1,No,No,No,No,3.8km,No,1 Years,No,4.1 km,1.34,medium,117997
174 sqm,161 sqm,2,3,No,Yes,No,No,0.9km,No,8 Years,No,1.7 km,1.17,large,143707
166 sqm,157 sqm,3,4,Yes,Yes,No,Yes,0.7km,No,16 Years,No,3.3 km,2.26,medium,142234
194 sqm,186 sqm,3,3,No,Yes,No,Yes,1.1km,No,20 Years,No,6.3 km,2.69,medium,147751
105 sqm,92 sqm,1,1,No,Yes,Yes,No,3.4km,No,10 Years,No,3.8 km,4.74,small,75918
230 sqm,205 sqm,5,3,Yes,Yes,Yes,Yes,4.2km,Yes,17 Years,Yes,1.6 km,1.05,large,237996
113 sqm,109 sqm,1,2,No,No,No,No,3.9km,No,16 Years,No,5.8 km,1.61,small,69998
264 sqm,227 sqm,4,2,Yes,Yes,Yes,No,0.5km,Yes,17 Years,No,2.3 km,3.20,extra_large,210022
303 sqm,289 sqm,4,2,Yes,Yes,Yes,Yes,6.7km,Yes,14 Years,No,2.2 km,5.19,large,235700
191 sqm,174 sqm,4,2,Yes,Yes,Yes,Yes,4.5km,No,17 Years,No,3.1 km,0.58,large,164552
176 sqm,176 sqm,3,3,Yes,No,Yes,No,6.8km,Yes,8 Years,No,2.4 km,2.98,large,136143
201 sqm,188 sqm,4,4,Yes,Yes,Yes,Yes,0.7km,Yes,15 Years,No,6.6 km,4.69,medium,172663
336 sqm,331 sqm,5,4,Yes,Yes,Yes,Yes,1.2km,No,17 Years,No,2.9 km,3.90,large,242356
218 sqm,211 sqm,3,4,Yes,No,No,Yes,1.8km,No,22 Years,No,6.5 km,1.44,large,164862
256 sqm,226 sqm,5,2,Yes,Yes,Yes,No,0.7km,Yes,4 Years,No,0.3 km,2.84,extra_large,223453
353 sqm,302 sqm,5,4,Yes,Yes,Yes,Yes,1.8km,Yes,9 Years,No,6.8 km,1.46,large,314937
165 sqm,143 sqm,3,2,No,Yes,Yes,No,6.3km,No,4 Years,No,6.3 km,0.71,medium,130492
283 sqm,250 sqm,4,3,Yes,Yes,Yes,Yes,6.9km,No,17 Years,No,0.8 km,3.49,extra_large,209475
275 sqm,250 sqm,4,2,Yes,Yes,Yes,Yes,0.9km,Yes,13 Years,No,2.1 km,0.08,medium,253981
187 sqm,174 sqm,2,2,No,No,No,No,1.7km,No,10 Years,No,1.7 km,3.41,small,122973
208 sqm,193 sqm,3,1,Yes,Yes,Yes,No,0.1km,Yes,21 Years,No,1.6 km,3.86,large,178848
173 sqm,164 sqm,3,1,Yes,Yes,Yes,No,1.1km,Yes,2 Years,No,2.4 km,1.09,medium,152778
238 sqm,220 sqm,4,2,Yes,Yes,Yes,Yes,6.2km,No,22 Years,No,4.3 km,5.29,large,159084
273 sqm,239 sqm,5,4,Yes,Yes,Yes,Yes,4.1km,Yes,1 Years,No,5.4 km,3.48,large,242476
444 sqm,391 sqm,7,4,Yes,Yes,Yes,Yes,3.6km,Yes,1 Years,No,3.4 km,5.47,large,370321
234 sqm,230 sqm,3,1,No,No,No,No,1.8km,Yes,5 Years,No,3.5 km,3.78,large,176067
349 sqm,348 sqm,5,2,No,Yes,Yes,Yes,2.4km,Yes,2 Years,No,0.5 km,5.47,large,293354
227 sqm,197 sqm,3,1,Yes,Yes,No,Yes,5.2km,No,9 Years,No,3.7 km,2.83,medium,170692
229 sqm,225 sqm,3,2,Yes,No,No,Yes,6.9km,Yes,12 Years,No,3.5 km,0.33,medium,189672
217 sqm,199 sqm,4,4,Yes,Yes,Yes,Yes,4.9km,No,6 Years,No,6.2 km,1.87,medium,179488
254 sqm,245 sqm,4,3,Yes,Yes,Yes,Yes,1.9km,Yes,1 Years,No,0.9 km,4.95,large,222107
136 sqm,119 sqm,1,2,Yes,Yes,Yes,No,0.3km,No,21 Years,No,1.2 km,4.81,medium,113053
199 sqm,198 sqm,4,2,Yes,Yes,No,Yes,6.5km,No,21 Years,No,2.7 km,2.87,medium,146616
304 sqm,272 sqm,4,5,Yes,Yes,Yes,Yes,4.7km,Yes,15 Years,No,0.8 km,5.05,large,258200
105 sqm,95 sqm,1,1,No,No,No,No,1.6km,No,7 Years,No,0.8 km,3.65,medium,77047
178 sqm,160 sqm,2,2,No,Yes,No,Yes,1.3km,No,7 Years,No,1.8 km,4.26,medium,136187
227 sqm,197 sqm,3,2,No,Yes,No,No,2.9km,Yes,14 Years,No,2.1 km,4.74,medium,164102
162 sqm,147 sqm,3,4,Yes,Yes,No,No,0.7km,No,8 Years,No,6.1 km,0.71,large,142259
216 sqm,215 sqm,4,2,Yes,Yes,Yes,Yes,2.9km,Yes,12 Years,No,0.2 km,3.53,medium,192779
487 sqm,450 sqm,7,6,Yes,Yes,Yes,Yes,5.1km,Yes,21 Years,Yes,4.3 km,1.96,large,461636
228 sqm,227 sqm,3,1,Yes,No,Yes,No,5.8km,Yes,11 Years,No,6.4 km,2.19,medium,162420
171 sqm,155 sqm,2,2,No,Yes,Yes,No,5.7km,Yes,2 Years,No,3.7 km,0.56,medium,142013
305 sqm,269 sqm,5,2,Yes,Yes,Yes,Yes,1.2km,Yes,17 Years,No,6.5 km,2.99,large,258937
146 sqm,138 sqm,1,2,No,Yes,No,No,0.5km,No,22 Years,No,4.5 km,2.56,small,106005
146 sqm,126 sqm,2,3,No,No,No,No,0.9km,No,20 Years,No,6.2 km,2.04,large,102364
243 sqm,231 sqm,4,2,Yes,Yes,Yes,Yes,3.4km,Yes,7 Years,No,3.1 km,1.59,extra_large,207652
295 sqm,252 sqm,4,5,Yes,Yes,Yes,Yes,0.2km,Yes,11 Years,No,6.9 km,2.66,extra_large,259976
151 sqm,147 sqm,2,1,Yes,No,Yes,No,5.6km,No,21 Years,No,1.4 km,1.58,medium,98780
170 sqm,162 sqm,2,1,No,Yes,No,No,0.3km,No,4 Years,No,2.3 km,2.54,small,131699
152 sqm,150 sqm,3,3,No,No,Yes,No,4.7km,Yes,20 Years,No,3.7 km,2.48,medium,106401
306 sqm,302 sqm,4,4,Yes,Yes,Yes,Yes,5.8km,Yes,21 Years,No,6.2 km,3.15,large,251999
194 sqm,192 sqm,3,1,Yes,No,Yes,No,6.7km,No,9 Years,No,2.1 km,3.91,medium,123154
208 sqm,206 sqm,3,4,No,No,No,Yes,3.5km,Yes,4 Years,No,4.7 km,5.25,large,165889
237 sqm,228 sqm,4,4,Yes,Yes,Yes,Yes,0.6km,Yes,13 Years,No,2.9 km,1.63,large,223996
212 sqm,194 sqm,3,1,Yes,No,No,Yes,1.1km,No,17 Years,No,3.3 km,3.53,medium,153319
129 sqm,117 sqm,2,2,Yes,No,No,No,5.4km,No,19 Years,No,5.8 km,4.58,medium,66225
215 sqm,202 sqm,4,3,Yes,Yes,Yes,No,6.4km,No,16 Years,No,2.6 km,2.71,large,152065
270 sqm,263 sqm,5,4,No,Yes,Yes,Yes,0.8km,Yes,12 Years,No,4.6 km,4.49,large,235804
131 sqm,116 sqm,2,1,No,Yes,No,No,2.9km,No,17 Years,No,4.8 km,4.70,large,80512
122 sqm,121 sqm,2,2,No,No,No,No,4.1km,Yes,15 Years,No,6.2 km,0.30,extra_large,89528
338 sqm,294 sqm,5,5,Yes,Yes,Yes,No,4.5km,No,21 Years,No,1.3 km,3.39,large,226490
279 sqm,244 sqm,4,5,Yes,Yes,No,No,0.2km,Yes,13 Years,No,0.5 km,3.19,medium,227249
232 sqm,232 sqm,5,3,Yes,Yes,Yes,Yes,2.1km,Yes,20 Years,Yes,6.7 km,2.02,extra_large,221168
334 sqm,311 sqm,6,5,Yes,Yes,Yes,Yes,6.5km,Yes,7 Years,No,6.2 km,2.01,extra_large,274794
727 sqm,642 sqm,8,9,Yes,Yes,Yes,Yes,6.7km,Yes,15 Years,No,4.1 km,5.64,extra_large,549116
136 sqm,136 sqm,2,3,No,No,No,No,4.8km,No,6 Years,No,0.7 km,1.10,extra_large,93004
160 sqm,157 sqm,3,4,No,No,No,Yes,6.5km,No,18 Years,No,4.2 km,5.80,large,98656
474 sqm,414 sqm,7,5,Yes,Yes,Yes,Yes,2.4km,Yes,1 Years,No,0.5 km,2.70,large,409104
128 sqm,111 sqm,2,1,No,No,No,Yes,1.5km,No,2 Years,No,6.3 km,0.91,small,106789
160 sqm,155 sqm,3,1,No,No,No,No,1.3km,Yes,16 Years,No,6.7 km,0.96,medium,120754
167 sqm,152 sqm,3,4,No,Yes,No,Yes,4.8km,Yes,6 Years,No,6.6 km,2.77,large,145527
298 sqm,279 sqm,5,4,Yes,Yes,Yes,Yes,1.5km,Yes,14 Years,Yes,0.9 km,2.30,extra_large,296593
196 sqm,176 sqm,3,3,Yes,No,No,Yes,2.4km,No,17 Years,No,5.3 km,1.24,large,157109
264 sqm,239 sqm,4,2,Yes,Yes,Yes,Yes,2.9km,No,5 Years,Yes,2.5 km,5.14,large,247760
293 sqm,283 sqm,5,5,Yes,Yes,Yes,Yes,4.6km,Yes,19 Years,Yes,1.5 km,0.77,large,295143
349 sqm,331 sqm,5,4,Yes,Yes,Yes,Yes,4.5km,Yes,21 Years,No,6.1 km,3.18,extra_large,265041
126 sqm,126 sqm,1,1,No,No,No,No,1.7km,No,22 Years,No,3.8 km,1.56,medium,85436
244 sqm,229 sqm,5,4,Yes,Yes,Yes,Yes,5.1km,Yes,20 Years,No,1.3 km,2.49,extra_large,194840
290 sqm,265 sqm,4,3,Yes,Yes,Yes,Yes,6.8km,Yes,6 Years,No,3.3 km,4.35,medium,234242
419 sqm,365 sqm,6,7,Yes,Yes,Yes,Yes,3.3km,Yes,17 Years,No,5.7 km,5.85,extra_large,314949
572 sqm,566 sqm,7,4,Yes,Yes,Yes,Yes,1.7km,Yes,2 Years,No,1.6 km,3.72,large,492368
712 sqm,581 sqm,8,6,Yes,Yes,Yes,Yes,1.1km,Yes,13 Years,No,4.2 km,2.50,large,584052
117 sqm,115 sqm,1,2,No,No,No,No,4.7km,Yes,8 Years,No,3.3 km,0.58,large,94484
211 sqm,204 sqm,4,2,Yes,Yes,Yes,Yes,1.1km,Yes,11 Years,No,0.1 km,0.48,large,212640
301 sqm,280 sqm,5,3,No,Yes,Yes,Yes,5.1km,Yes,8 Years,No,0.2 km,4.36,extra_large,244475
296 sqm,296 sqm,4,2,Yes,No,Yes,Yes,3.1km,Yes,16 Years,No,4.6 km,5.10,extra_large,220878
553 sqm,492 sqm,7,8,Yes,Yes,Yes,Yes,5.1km,Yes,4 Years,No,1.9 km,1.21,extra_large,452197
152 sqm,148 sqm,2,3,Yes,No,No,Yes,6.4km,No,5 Years,No,5.3 km,3.11,large,121000
214 sqm,192 sqm,4,5,Yes,Yes,Yes,No,3.8km,Yes,6 Years,No,4.2 km,5.78,extra_large,167916
248 sqm,219 sqm,4,5,Yes,Yes,Yes,Yes,0.1km,No,2 Years,No,6.7 km,4.69,medium,213618
216 sqm,199 sqm,4,5,Yes,Yes,Yes,Yes,3.7km,Yes,13 Years,No,6.3 km,3.11,extra_large,184313
271 sqm,253 sqm,4,4,Yes,Yes,No,Yes,6.1km,Yes,3 Years,No,1.7 km,3.72,large,227511
338 sqm,303 sqm,6,4,Yes,Yes,Yes,Yes,4.9km,Yes,2 Years,No,1.9 km,5.46,extra_large,277871
486 sqm,429 sqm,7,5,Yes,Yes,Yes,Yes,0.7km,Yes,20 Years,No,1.1 km,0.31,large,405910
190 sqm,182 sqm,3,4,No,No,No,Yes,1.7km,Yes,21 Years,No,3.8 km,4.14,medium,150526
221 sqm,201 sqm,3,1,Yes,No,Yes,No,1.4km,No,7 Years,No,4.2 km,0.87,large,173058
400 sqm,375 sqm,6,5,Yes,Yes,Yes,Yes,0.3km,Yes,6 Years,No,3.5 km,1.93,extra_large,344843
192 sqm,187 sqm,4,2,Yes,No,Yes,Yes,0.2km,Yes,18 Years,No,3.2 km,0.18,large,189899
297 sqm,272 sqm,5,4,Yes,Yes,Yes,Yes,6.3km,Yes,15 Years,No,0.5 km,4.08,large,251423
319 sqm,299 sqm,5,5,Yes,Yes,Yes,Yes,3.9km,Yes,18 Years,No,0.7 km,3.46,medium,257139
142 sqm,123 sqm,1,2,No,No,No,No,2.3km,No,21 Years,No,0.8 km,0.74,small,99007
410 sqm,393 sqm,6,4,Yes,Yes,Yes,Yes,4.5km,No,5 Years,No,6.1 km,2.82,extra_large,311092
270 sqm,247 sqm,4,4,Yes,Yes,No,No,5.5km,Yes,17 Years,No,2.8 km,5.76,medium,175374
281 sqm,240 sqm,5,2,Yes,Yes,No,Yes,2.9km,Yes,22 Years,No,2.7 km,3.12,extra_large,218205
129 sqm,115 sqm,1,1,No,Yes,No,Yes,0.6km,No,3 Years,No,4.1 km,3.52,small,112605
151 sqm,132 sqm,2,2,No,Yes,No,No,2.5km,No,5 Years,No,3.1 km,2.68,large,106164
317 sqm,292 sqm,5,2,Yes,Yes,Yes,Yes,1.6km,Yes,14 Years,No,4.7 km,5.05,extra_large,250356
103 sqm,98 sqm,1,2,Yes,No,No,No,6.9km,No,4 Years,No,5.9 km,1.15,small,66248
265 sqm,235 sqm,4,4,Yes,Yes,Yes,No,4.5km,Yes,21 Years,No,1.5 km,5.11,large,203476
354 sqm,305 sqm,5,4,Yes,Yes,Yes,Yes,2.2km,Yes,1 Years,No,3.4 km,0.72,large,328425
434 sqm,413 sqm,6,4,Yes,Yes,Yes,Yes,4.6km,Yes,5 Years,No,5.4 km,2.37,extra_large,349894
116 sqm,104 sqm,1,2,Yes,Yes,No,No,4.1km,No,2 Years,No,5.1 km,2.61,large,85198
197 sqm,189 sqm,4,5,No,Yes,Yes,Yes,3.8km,Yes,13 Years,No,4.8 km,2.42,large,171932
155 sqm,138 sqm,3,3,No,Yes,No,No,3.5km,No,14 Years,No,0.5 km,0.37,medium,120624
187 sqm,187 sqm,2,3,No,No,No,No,5.4km,No,2 Years,No,6.6 km,2.34,medium,116733
198 sqm,197 sqm,3,3,Yes,No,No,Yes,1.8km,No,6 Years,No,5.1 km,4.92,large,157043
257 sqm,247 sqm,5,4,Yes,Yes,Yes,Yes,0.8km,Yes,13 Years,No,0.1 km,1.77,extra_large,241453
380 sqm,375 sqm,6,7,Yes,Yes,Yes,Yes,0.4km,Yes,22 Years,No,6.5 km,3.68,large,311732
286 sqm,274 sqm,5,4,Yes,Yes,Yes,No,3.2km,Yes,6 Years,No,0.4 km,0.57,extra_large,233014
437 sqm,363 sqm,8,7,Yes,Yes,Yes,Yes,1.1km,Yes,22 Years,No,5.8 km,1.10,large,359654
168 sqm,149 sqm,3,1,No,Yes,Yes,No,5.1km,No,18 Years,No,0.3 km,2.53,medium,124427
242 sqm,226 sqm,5,4,Yes,Yes,Yes,Yes,4.1km,Yes,22 Years,No,0.4 km,5.99,large,202827
133 sqm,116 sqm,1,2,No,Yes,No,No,6.6km,No,5 Years,No,2.5 km,0.03,small,96577
245 sqm,218 sqm,5,2,Yes,Yes,Yes,Yes,2.8km,Yes,2 Years,No,5.8 km,1.83,extra_large,222083
241 sqm,214 sqm,4,3,Yes,Yes,Yes,No,2.2km,No,3 Years,No,5.1 km,3.71,extra_large,170994
178 sqm,156 sqm,2,2,Yes,No,No,No,1.5km,No,7 Years,No,5.6 km,0.90,large,136898
152 sqm,148 sqm,2,2,No,No,No,Yes,4.8km,Yes,17 Years,No,3.4 km,0.47,large,137536
273 sqm,271 sqm,4,5,Yes,No,No,Yes,4.8km,No,6 Years,No,6.9 km,2.97,large,213309
110 sqm,96 sqm,1,1,No,No,No,Yes,5.8km,No,19 Years,No,2.7 km,5.78,small,64794
129 sqm,110 sqm,1,2,No,No,No,No,4.4km,No,5 Years,No,6.8 km,3.33,large,72606
186 sqm,160 sqm,3,2,Yes,Yes,Yes,No,1.5km,No,13 Years,No,2.7 km,0.37,medium,151553
271 sqm,258 sqm,5,3,Yes,Yes,No,Yes,6.1km,No,1 Years,No,0.2 km,3.32,extra_large,209898
309 sqm,302 sqm,4,2,Yes,Yes,Yes,Yes,3.2km,Yes,12 Years,No,5.6 km,4.55,large,253314
152 sqm,141 sqm,2,3,Yes,Yes,No,No,6.8km,No,22 Years,No,0.4 km,4.02,medium,97118
149 sqm,142 sqm,1,1,No,No,No,No,2.8km,No,12 Years,No,3.4 km,3.50,large,94302
194 sqm,176 sqm,3,3,No,No,No,Yes,2.8km,Yes,4 Years,No,5.2 km,0.95,large,177614
201 sqm,173 sqm,4,2,Yes,Yes,Yes,Yes,6.6km,Yes,3 Years,No,3.8 km,0.99,extra_large,187079
162 sqm,162 sqm,2,2,No,No,No,Yes,5.9km,No,14 Years,No,3.5 km,5.88,small,102256
122 sqm,115 sqm,1,2,No,No,No,Yes,2.7km,No,18 Years,No,5.5 km,4.56,small,77583
231 sqm,199 sqm,4,4,Yes,Yes,Yes,No,4.4km,Yes,5 Years,No,5.9 km,5.40,extra_large,169035
340 sqm,321 sqm,5,5,Yes,Yes,Yes,Yes,5.8km,Yes,5 Years,No,0.8 km,5.77,extra_large,268799
265 sqm,260 sqm,4,4,Yes,Yes,Yes,Yes,4.1km,No,7 Years,No,4.2 km,3.83,extra_large,199874
225 sqm,197 sqm,3,3,Yes,No,Yes,No,3.4km,No,20 Years,No,6.5 km,5.37,large,144933
258 sqm,226 sqm,4,5,Yes,Yes,Yes,Yes,6.3km,No,19 Years,No,4.4 km,3.06,extra_large,191623
286 sqm,270 sqm,4,2,Yes,Yes,Yes,No,0.2km,Yes,3 Years,No,3.5 km,1.64,large,249837
171 sqm,164 sqm,3,3,Yes,No,Yes,No,3.1km,No,2 Years,No,4.1 km,0.69,medium,131756
335 sqm,309 sqm,5,4,Yes,Yes,Yes,Yes,3.7km,Yes,3 Years,No,3.2 km,2.23,large,297858
183 sqm,170 sqm,3,4,Yes,No,No,Yes,6.3km,Yes,9 Years,No,4.3 km,4.44,large,140458
177 sqm,173 sqm,2,3,No,No,No,Yes,0.8km,Yes,10 Years,No,2.8 km,4.26,medium,147143
121 sqm,106 sqm,2,2,No,Yes,No,No,5.3km,No,21 Years,No,3.3 km,4.09,extra_large,69323
330 sqm,304 sqm,5,2,Yes,Yes,Yes,Yes,3.3km,Yes,9 Years,No,6.1 km,3.32,medium,283437
247 sqm,228 sqm,4,5,No,Yes,No,Yes,0.2km,Yes,22 Years,No,6.6 km,5.28,extra_large,196586
273 sqm,263 sqm,5,4,Yes,Yes,No,Yes,4.1km,Yes,11 Years,No,0.5 km,4.84,extra_large,219664
216 sqm,184 sqm,4,2,Yes,Yes,Yes,Yes,4.4km,No,3 Years,No,0.6 km,1.19,medium,192933
248 sqm,213 sqm,5,4,Yes,Yes,No,Yes,0.6km,Yes,13 Years,No,4.4 km,1.65,extra_large,221418
170 sqm,157 sqm,3,2,Yes,Yes,No,Yes,5.5km,Yes,8 Years,No,6.3 km,3.47,medium,142873
390 sqm,357 sqm,6,6,Yes,Yes,Yes,Yes,5.5km,Yes,15 Years,No,3.5 km,4.39,extra_large,308446
355 sqm,343 sqm,5,2,Yes,Yes,Yes,Yes,3.3km,Yes,16 Years,Yes,3.4 km,3.04,large,345256
137 sqm,121 sqm,2,1,No,Yes,No,No,5.7km,No,17 Years,No,6.9 km,0.16,medium,91888
278 sqm,240 sqm,4,4,Yes,Yes,Yes,Yes,4.7km,Yes,20 Years,No,3.3 km,2.83,large,244847
390 sqm,382 sqm,6,4,Yes,Yes,Yes,Yes,5.4km,Yes,16 Years,No,2.7 km,2.08,extra_large,310580
581 sqm,503 sqm,7,4,Yes,Yes,Yes,Yes,4.2km,Yes,11 Years,No,1.3 km,5.61,large,463288
140 sqm,119 sqm,1,2,Yes,Yes,No,No,5.4km,No,3 Years,No,3.1 km,1.57,small,98450
182 sqm,167 sqm,3,2,Yes,Yes,No,No,0.8km,No,14 Years,Yes,1.9 km,3.05,large,170187
269 sqm,229 sqm,5,4,Yes,Yes,Yes,Yes,1.5km,No,14 Years,No,6.5 km,5.97,extra_large,193340
302 sqm,300 sqm,4,3,Yes,Yes,Yes,Yes,3.2km,No,16 Years,No,2.1 km,3.18,extra_large,213107
252 sqm,236 sqm,4,5,Yes,Yes,No,Yes,4.7km,No,20 Years,No,2.6 km,4.62,medium,182592
250 sqm,231 sqm,4,3,Yes,Yes,No,Yes,4.8km,No,16 Years,No,0.4 km,0.77,extra_large,185927
310 sqm,269 sqm,5,4,Yes,Yes,Yes,Yes,6.4km,Yes,7 Years,No,5.9 km,1.69,large,279837
263 sqm,252 sqm,4,2,Yes,Yes,Yes,Yes,3.6km,Yes,8 Years,No,6.6 km,4.13,medium,218874
105 sqm,95 sqm,1,1,No,No,No,No,4.8km,No,10 Years,No,6.8 km,3.19,small,55717
260 sqm,257 sqm,4,5,Yes,No,Yes,Yes,6.2km,No,15 Years,No,3.2 km,3.56,large,189921
102 sqm,97 sqm,1,2,No,No,No,No,6.8km,No,15 Years,No,0.5 km,2.92,small,61293
302 sqm,297 sqm,4,3,Yes,Yes,No,Yes,2.9km,Yes,10 Years,No,0.4 km,3.89,large,269499
140 sqm,133 sqm,1,1,No,Yes,No,No,2.7km,No,15 Years,No,2.7 km,3.66,large,98880
198 sqm,170 sqm,3,4,Yes,Yes,No,Yes,4.2km,No,15 Years,No,3.1 km,1.85,medium,153942
177 sqm,157 sqm,3,4,No,No,No,Yes,2.7km,Yes,13 Years,No,5.4 km,3.97,medium,137334
339 sqm,315 sqm,5,2,Yes,Yes,No,Yes,6.2km,Yes,19 Years,No,2.4 km,5.02,large,266119
264 sqm,225 sqm,4,4,Yes,Yes,Yes,Yes,2.1km,Yes,10 Years,No,3.8 km,4.94,medium,226628
575 sqm,496 sqm,7,7,Yes,Yes,Yes,Yes,6.5km,Yes,22 Years,No,2.8 km,1.84,large,457882
260 sqm,223 sqm,4,5,Yes,Yes,Yes,Yes,4.4km,Yes,6 Years,No,3.8 km,0.91,medium,234118
245 sqm,243 sqm,4,3,No,No,Yes,Yes,2.7km,Yes,22 Years,No,4.7 km,4.38,large,191562
160 sqm,141 sqm,2,2,Yes,Yes,Yes,No,6.6km,No,20 Years,No,6.3 km,3.29,medium,107200
275 sqm,267 sqm,5,4,Yes,Yes,Yes,Yes,3.1km,Yes,11 Years,No,5.9 km,4.08,extra_large,224300
213 sqm,206 sqm,4,2,Yes,Yes,Yes,Yes,2.3km,No,7 Years,No,4.5 km,3.38,medium,166035
186 sqm,160 sqm,2,2,No,No,No,No,0.5km,No,2 Years,No,0.1 km,1.44,medium,144103
268 sqm,242 sqm,4,2,Yes,Yes,Yes,Yes,6.7km,No,5 Years,No,5.2 km,4.78,extra_large,197878
215 sqm,199 sqm,4,5,Yes,Yes,Yes,Yes,6.4km,Yes,17 Years,No,5.3 km,3.45,large,174762
200 sqm,200 sqm,4,2,Yes,No,Yes,Yes,0.4km,Yes,13 Years,No,0.3 km,1.11,medium,196150
177 sqm,170 sqm,3,3,No,No,No,No,3.4km,Yes,18 Years,No,2.5 km,3.79,medium,121039
260 sqm,226 sqm,4,4,No,Yes,Yes,Yes,6.3km,Yes,10 Years,No,4.7 km,4.51,medium,213944
167 sqm,156 sqm,3,3,Yes,Yes,No,No,4.6km,Yes,20 Years,No,6.5 km,4.25,medium,108308
246 sqm,242 sqm,4,3,No,Yes,Yes,Yes,0.1km,Yes,4 Years,No,1.3 km,1.15,large,245764
696 sqm,600 sqm,8,7,Yes,Yes,Yes,Yes,5.9km,No,14 Years,No,3.6 km,3.50,large,465443
304 sqm,290 sqm,5,2,Yes,Yes,Yes,No,1.5km,Yes,9 Years,No,0.4 km,3.31,extra_large,242717
189 sqm,186 sqm,3,4,No,No,No,Yes,5.3km,No,9 Years,No,5.9 km,4.01,large,130817
231 sqm,214 sqm,3,4,Yes,Yes,No,No,5.1km,No,18 Years,No,5.5 km,0.33,medium,163823
219 sqm,219 sqm,4,3,Yes,Yes,No,Yes,0.1km,No,1 Years,No,1.1 km,0.95,extra_large,203727
269 sqm,253 sqm,5,2,Yes,Yes,Yes,Yes,1.9km,Yes,2 Years,Yes,3.3 km,4.46,extra_large,265642
276 sqm,257 sqm,5,3,Yes,Yes,Yes,Yes,0.3km,Yes,3 Years,No,0.8 km,1.82,large,269725
332 sqm,301 sqm,6,7,Yes,Yes,Yes,Yes,4.2km,Yes,18 Years,No,2.3 km,4.76,extra_large,264906
123 sqm,105 sqm,2,3,No,Yes,No,No,3.9km,Yes,21 Years,No,1.6 km,2.66,small,91729
343 sqm,315 sqm,5,5,Yes,Yes,Yes,No,5.4km,Yes,10 Years,No,3.1 km,4.04,large,258646
178 sqm,160 sqm,3,3,Yes,Yes,No,Yes,5.8km,Yes,10 Years,No,4.8 km,2.98,large,153486
138 sqm,123 sqm,1,1,Yes,Yes,Yes,No,3.9km,No,6 Years,Yes,3.9 km,1.60,small,126754
158 sqm,158 sqm,2,2,Yes,No,Yes,No,4.9km,No,3 Years,Yes,1.2 km,5.32,large,123602
160 sqm,157 sqm,3,4,Yes,No,No,No,3.3km,Yes,11 Years,No,3.9 km,5.20,large,115821
146 sqm,140 sqm,1,2,No,Yes,No,No,6.4km,No,1 Years,No,1.4 km,2.68,medium,103121
237 sqm,207 sqm,3,1,No,No,No,No,2.4km,No,7 Years,No,4.9 km,4.61,medium,143156
163 sqm,140 sqm,3,3,Yes,Yes,Yes,No,6.3km,No,21 Years,No,4.5 km,1.07,medium,123621
333 sqm,301 sqm,5,2,Yes,Yes,No,Yes,3.3km,Yes,11 Years,No,5.3 km,3.84,medium,257661
299 sqm,289 sqm,4,5,Yes,Yes,Yes,No,3.1km,Yes,13 Years,No,1.4 km,3.39,large,232859
168 sqm,159 sqm,2,1,No,No,No,Yes,6.4km,Yes,20 Years,No,6.9 km,1.72,small,125212
237 sqm,223 sqm,4,5,No,Yes,Yes,Yes,6.5km,Yes,1 Years,No,2.6 km,1.94,medium,210292
112 sqm,111 sqm,1,1,No,No,No,No,4.8km,No,20 Years,No,5.6 km,0.82,large,77740
322 sqm,285 sqm,5,2,Yes,Yes,Yes,Yes,2.4km,Yes,17 Years,No,3.7 km,0.70,medium,280434
249 sqm,219 sqm,4,3,Yes,Yes,Yes,No,5.9km,Yes,14 Years,No,1.8 km,5.41,large,189477
294 sqm,278 sqm,5,4,No,Yes,Yes,Yes,2.6km,Yes,2 Years,No,2.4 km,5.47,medium,242052
460 sqm,393 sqm,7,5,Yes,Yes,Yes,Yes,4.7km,Yes,2 Years,No,5.2 km,2.12,large,401801
